source_commit,original_path,sha256,bytes,target_readme,disposition
b2da67aca12cdc2c2da69a691a18793ef3c35d88,hkg-t24/0214_tactical_h24n_gribstream_backfill/full_tactical_backfill_ok_tmax/DEEP_SANITY_AUDIT_20260625.md,6a59e96e0341c9b522689aa645382c5878537bde4552bd9b0036f20290fb4caf,9819,hkg-t24/0214_tactical_h24n_gribstream_backfill/README.md,merge_then_prune
b2da67aca12cdc2c2da69a691a18793ef3c35d88,hkg-t24/0214_tactical_h24n_gribstream_backfill/full_tactical_backfill_ok_tmax/STOPPED_AFTER_429.md,28e794871cf6c8f7d44565622d61e1089060bbfb3f2c156b2aaefccbd85e3305,1721,hkg-t24/0214_tactical_h24n_gribstream_backfill/README.md,merge_then_prune
b2da67aca12cdc2c2da69a691a18793ef3c35d88,hkg-t24/0215_gpt_pro_point_forecast_strategy/ASOF_CONTRACT.md,24027b118b7e1ca286dc38fda203844ab3dc2e29e414462f5ada1ca1e5ce8e95,733,hkg-t24/0215_gpt_pro_point_forecast_strategy/README.md,merge_then_prune
b2da67aca12cdc2c2da69a691a18793ef3c35d88,hkg-t24/0215_gpt_pro_point_forecast_strategy/CONCLUSION.md,4db0caba39fa3f68aed64c68faa67dea204e7ee858bd206a78faf12fb8ee7f62,278,hkg-t24/0215_gpt_pro_point_forecast_strategy/README.md,merge_then_prune
b2da67aca12cdc2c2da69a691a18793ef3c35d88,hkg-t24/0215_gpt_pro_point_forecast_strategy/DATA_MANIFEST.md,564846eb110d59615d324777b84bc0701b4827c456513d33d71632e43279676a,3131,hkg-t24/0215_gpt_pro_point_forecast_strategy/README.md,merge_then_prune
b2da67aca12cdc2c2da69a691a18793ef3c35d88,hkg-t24/0215_gpt_pro_point_forecast_strategy/HYPOTHESIS.md,e52bb0b08b5fc7ab8f1ffeda78ed0a917300320f8cc42d9257d16b3738198e16,448,hkg-t24/0215_gpt_pro_point_forecast_strategy/README.md,merge_then_prune
b2da67aca12cdc2c2da69a691a18793ef3c35d88,hkg-t24/0215_gpt_pro_point_forecast_strategy/PROTOCOL.md,c13906f116c558f65af3ea3e58736a901722a87e19ab41b77acbc98305c16d01,870,hkg-t24/0215_gpt_pro_point_forecast_strategy/README.md,merge_then_prune
b2da67aca12cdc2c2da69a691a18793ef3c35d88,hkg-t24/0215_gpt_pro_point_forecast_strategy/REPRODUCE.md,d380f2618d966598ad11f7aa7f5b2e643514401f5bf1a18e23dfd74a1aec9715,498,hkg-t24/0215_gpt_pro_point_forecast_strategy/README.md,merge_then_prune
b2da67aca12cdc2c2da69a691a18793ef3c35d88,hkg-t24/0215_gpt_pro_point_forecast_strategy/RESULTS.md,40ce585c2c09db65a7c8fe2f62b422ac38842b2d58bc90e5322b14bcdc011c30,41545,hkg-t24/0215_gpt_pro_point_forecast_strategy/README.md,merge_then_prune
b2da67aca12cdc2c2da69a691a18793ef3c35d88,hkg-t24/0215_gpt_pro_point_forecast_strategy/RUN_CONFIG.md,dace71c8ddeedb174752c531e7f1a36c0e1212a13c2378f5f1917a567ce6a562,412,hkg-t24/0215_gpt_pro_point_forecast_strategy/README.md,merge_then_prune
b2da67aca12cdc2c2da69a691a18793ef3c35d88,hkg-t24/0215_gpt_pro_point_forecast_strategy/STATUS.md,3033a4c6ff77ff7cda34cde7249c97f304d03eecc3412667241602cfb83002f5,88,hkg-t24/0215_gpt_pro_point_forecast_strategy/README.md,merge_then_prune
b2da67aca12cdc2c2da69a691a18793ef3c35d88,hkg-t24/0215_gpt_pro_point_forecast_strategy/final_forecasting_strategy_report.md,40ce585c2c09db65a7c8fe2f62b422ac38842b2d58bc90e5322b14bcdc011c30,41545,hkg-t24/0215_gpt_pro_point_forecast_strategy/README.md,merge_then_prune
b2da67aca12cdc2c2da69a691a18793ef3c35d88,hkg-tmax/0001_residual_ml_strategy_20260705/README.md,0fdb786f5df30893961de006cdbb8ce297eeb91ad3bb4b20406fca7f57f397cc,1198,hkg-tmax/0001_residual_ml_strategy_20260705/README.md,retain_canonical_readme
b2da67aca12cdc2c2da69a691a18793ef3c35d88,hkg-tmax/0002_selective_no_harm_router_20260705/IMPLEMENTATION_DEEP_DIVE.md,22993ac15d606c4a4b2de124b5b90051f8aad53ffe116ba3844c27b4e067126d,19218,hkg-tmax/0002_selective_no_harm_router_20260705/README.md,merge_then_prune
b2da67aca12cdc2c2da69a691a18793ef3c35d88,hkg-tmax/0002_selective_no_harm_router_20260705/README.md,6ae1dca29d0ef919e08b10b8c40a99da1dc752d080a7da82ba0b007c87d17fb6,1283,hkg-tmax/0002_selective_no_harm_router_20260705/README.md,retain_canonical_readme
b2da67aca12cdc2c2da69a691a18793ef3c35d88,hkg-tmax/0002_selective_no_harm_router_20260705/inputs/README.md,9a098c6bf7dd7e6b88a760c0d2f799c57a2e0569939996fbf5fb2daca7d54ca1,185,hkg-tmax/0002_selective_no_harm_router_20260705/README.md,merge_then_prune
b2da67aca12cdc2c2da69a691a18793ef3c35d88,hkg-tmax/0002_selective_no_harm_router_20260705/inputs/gpt_pro_next_round_memo_20260705.txt,97f69fab61af0df7153738f97a9832cef78b1b5920a8790567db0e2febbd0a72,57322,hkg-tmax/0002_selective_no_harm_router_20260705/README.md,retain_non_markdown_source
b2da67aca12cdc2c2da69a691a18793ef3c35d88,hkg-tmax/0002_selective_no_harm_router_20260705/results/next_round_model_card.md,d4e9676317026546334e58bd6d1c58dddc50d9ac8ddd88472a6b0639ce283865,2661,hkg-tmax/0002_selective_no_harm_router_20260705/README.md,merge_then_prune
b2da67aca12cdc2c2da69a691a18793ef3c35d88,hkg-tmax/0003_official_residual_memory_20260706/ASOF_CONTRACT.md,342c76527fd518e05a2d2b9c984eba1b07fa1b145083a5efa18e75cee4cb68b7,381,hkg-tmax/0003_official_residual_memory_20260706/README.md,merge_then_prune
b2da67aca12cdc2c2da69a691a18793ef3c35d88,hkg-tmax/0003_official_residual_memory_20260706/CONCLUSION.md,45feaa294f5535ae45762eac62b8f3a6cc44fe66c779d8f5ed47bf1b42e2f6fc,895,hkg-tmax/0003_official_residual_memory_20260706/README.md,merge_then_prune
b2da67aca12cdc2c2da69a691a18793ef3c35d88,hkg-tmax/0003_official_residual_memory_20260706/HYPOTHESIS.md,325a79584b13668cce13a11aba71cfaa7a98c93ddaef18e2e530ab1ab207149a,251,hkg-tmax/0003_official_residual_memory_20260706/README.md,merge_then_prune
b2da67aca12cdc2c2da69a691a18793ef3c35d88,hkg-tmax/0003_official_residual_memory_20260706/PROTOCOL.md,f04c3d255634b952a7fa9e954a96e1ece9cee179ed4deca144b2e7b2e104bc87,520,hkg-tmax/0003_official_residual_memory_20260706/README.md,merge_then_prune
b2da67aca12cdc2c2da69a691a18793ef3c35d88,hkg-tmax/0003_official_residual_memory_20260706/README.md,57cbc25ba95c143ec74e799ca43cb1ca46c0628b99082002a090606948dd9537,367,hkg-tmax/0003_official_residual_memory_20260706/README.md,retain_canonical_readme
b2da67aca12cdc2c2da69a691a18793ef3c35d88,hkg-tmax/0003_official_residual_memory_20260706/REPRODUCE.md,242caa7b1ff3b9ce9ce11ce83631346562d2f605dfb4cabe35f0c6a4bf8a1b9c,255,hkg-tmax/0003_official_residual_memory_20260706/README.md,merge_then_prune
b2da67aca12cdc2c2da69a691a18793ef3c35d88,hkg-tmax/0003_official_residual_memory_20260706/RESULTS.md,eae6fa759d176937f22427188814bdab802aee58883917250846f74906b96203,2203,hkg-tmax/0003_official_residual_memory_20260706/README.md,merge_then_prune
