station_id,target_date_local,asof_utc,gfs_tmax_f,nam_tmax_f,gefsatmosmean_tmax_f,rap_tmax_f,hrrr_tmax_f,nbm_tmax_f,gefsatmos_tmp_spread_f,actual_tmax_f
KNYC,2021-02-23,2021-02-22T12:00:00Z,43.0,43.0,36.32495476310493,42.624290161132855,43.728416137695355,40.80198242187506,0.7009643159772747,45.0
KNYC,2021-02-24,2021-02-23T12:00:00Z,51.0,51.0,44.50728843245962,49.54592407226566,52.770521240234416,46.43599121093756,1.6992995495189334,54.0
KNYC,2021-02-25,2021-02-24T12:00:00Z,45.0,44.0,44.190035030242086,45.39531677246098,44.41995056152348,44.70801757812502,1.6134448851549752,50.0
KNYC,2021-02-26,2021-02-25T12:00:00Z,44.0,43.0,42.163533518145115,41.39047058105473,42.95909851074223,42.5840087890626,1.4323197991831478,45.0
KNYC,2021-02-27,2021-02-26T12:00:00Z,47.0,50.0,47.762871723790305,49.75411499023441,53.40511901855473,49.081982421875104,3.1655369630851498,50.0
KNYC,2021-02-28,2021-02-27T12:00:00Z,43.0,42.0,41.14813369455644,45.176771240234416,49.34729125976567,43.12400878906252,1.2778210694765746,45.0
KNYC,2021-03-01,2021-02-28T12:00:00Z,54.0,51.0,46.592471396169415,49.36182067871098,50.548728637695355,47.91198242187504,3.1260244671908763,49.0
KNYC,2021-03-02,2021-03-01T12:00:00Z,34.0,36.0,32.916555191532304,26.529374389648478,27.991819458007853,33.92599121093758,3.1928924994420766,33.0
KNYC,2021-03-03,2021-03-02T12:00:00Z,47.0,49.0,46.19301814516126,45.28863952636723,48.97707946777348,47.7500000000001,1.4534552547351907,52.0
KNYC,2021-03-04,2021-03-03T12:00:00Z,41.0,45.0,39.50540688004038,37.69096191406254,41.58396728515629,39.99198242187508,2.521539058508806,45.0
KNYC,2021-03-05,2021-03-04T12:00:00Z,35.0,38.0,33.931924395161346,28.88728759765629,33.69454772949223,34.93396484375006,2.312677393922585,37.0
KNYC,2021-03-06,2021-03-05T12:00:00Z,34.0,39.0,34.381343750000056,30.78635681152348,35.31352050781254,35.34801757812504,2.715546030191175,34.0
KNYC,2021-03-07,2021-03-06T12:00:00Z,36.0,39.0,36.398192036290524,32.481712036132855,39.44600036621098,37.04000000000002,2.4814944847914773,41.0
KNYC,2021-03-08,2021-03-07T12:00:00Z,41.0,43.0,38.85148928931454,40.52620361328129,43.57199829101567,41.161982421875145,1.956622069003656,43.0
KNYC,2021-03-09,2021-03-08T12:00:00Z,54.0,53.0,51.16389528729835,58.36105163574223,60.86115539550785,55.43599121093756,1.8180707960838176,64.0
KNYC,2021-03-10,2021-03-09T12:00:00Z,52.0,51.0,49.30664560231869,53.329945068359415,54.92505004882817,51.20599121093752,1.0200518842159376,54.0
KNYC,2021-03-11,2021-03-10T12:00:00Z,67.0,63.0,66.40277671370968,74.8501568603516,73.12544067382817,64.85000000000011,1.353471198784381,71.0
KNYC,2021-03-12,2021-03-11T12:00:00Z,65.0,62.0,60.63003767641136,62.647614746093794,65.14189575195317,60.74599121093754,2.788114957408168,68.0
KNYC,2021-03-13,2021-03-12T12:00:00Z,47.0,45.0,47.08595173891143,41.72607543945317,46.15186279296879,47.15599121093762,3.2661885427101156,52.0
KNYC,2021-03-14,2021-03-13T12:00:00Z,47.0,43.0,46.448275485131134,41.71393554687504,45.27844970703129,47.0840087890626,4.03405429972665,54.0
KNYC,2021-03-15,2021-03-14T12:00:00Z,36.0,38.0,37.03623261088718,32.72382324218754,36.28160827636723,37.00400878906256,3.33785280145754,39.0
