station_id,target_date_local,asof_utc,mu_hat_oof,actual_tmax_f,residual_f,r_value
KNYC,2022-01-01,2021-12-31 12:00:00+00:00,59.5590216099317,56.0,-3.5590216099316976,2.621721613209789
KNYC,2022-01-02,2022-01-01 12:00:00+00:00,56.2838037908419,59.0,2.716196209158099,4.749742812014469
KNYC,2022-01-03,2022-01-02 12:00:00+00:00,38.66602760119823,37.0,-1.6660276011982305,3.0094812074484176
KNYC,2022-01-04,2022-01-03 12:00:00+00:00,39.867930367527066,34.0,-5.867930367527066,1.2197901875463877
KNYC,2022-01-05,2022-01-04 12:00:00+00:00,47.71494739533442,47.0,-0.7149473953344199,2.43658712372442
KNYC,2022-01-06,2022-01-05 12:00:00+00:00,40.26760360810215,41.0,0.7323963918978507,1.6724054936332329
KNYC,2022-01-07,2022-01-06 12:00:00+00:00,39.49616003919163,34.0,-5.496160039191629,2.0155831461655977
KNYC,2022-01-08,2022-01-07 12:00:00+00:00,39.20091560985601,30.0,-9.200915609856011,1.5493918855804414
KNYC,2022-01-09,2022-01-08 12:00:00+00:00,38.94362244024626,40.0,1.0563775597537415,1.8652692781461748
KNYC,2022-01-10,2022-01-09 12:00:00+00:00,39.498663067108296,40.0,0.5013369328917037,2.364327521885994
KNYC,2022-01-11,2022-01-10 12:00:00+00:00,39.06715299461952,24.0,-15.06715299461952,2.591308196404537
KNYC,2022-01-12,2022-01-11 12:00:00+00:00,39.67240916641565,40.0,0.3275908335843525,1.8031860319195532
KNYC,2022-01-13,2022-01-12 12:00:00+00:00,42.83166024621968,48.0,5.168339753780323,0.6665863222742494
KNYC,2022-01-14,2022-01-13 12:00:00+00:00,39.87173631488975,43.0,3.128263685110248,1.564560778398388
KNYC,2022-01-15,2022-01-14 12:00:00+00:00,39.76049244148895,21.0,-18.76049244148895,1.5637697304396505
KNYC,2022-01-16,2022-01-15 12:00:00+00:00,39.739589111108735,37.0,-2.739589111108735,1.4758418104965094
KNYC,2022-01-17,2022-01-16 12:00:00+00:00,47.895642222884334,44.0,-3.8956422228843337,1.6430287540745998
KNYC,2022-01-18,2022-01-17 12:00:00+00:00,38.77752253166645,36.0,-2.777522531666449,2.637076389025574
KNYC,2022-01-19,2022-01-18 12:00:00+00:00,46.89559654873789,49.0,2.104403451262108,0.9839193192000816
KNYC,2022-01-20,2022-01-19 12:00:00+00:00,38.63142714008603,46.0,7.368572859913968,2.909393742872157
KNYC,2022-01-21,2022-01-20 12:00:00+00:00,39.95277922308501,22.0,-17.95277922308501,1.4948108868701344
KNYC,2022-01-22,2022-01-21 12:00:00+00:00,40.380175187525474,29.0,-11.380175187525474,1.311730920378802
