diagnostic_id,cutoff,issue_family,target_days,days_with_issue_before_cutoff,coverage_percent,production_allowed,note
A13_bulletin_parse_feasibility,17:00,1615,8765,6327,72.18482601254992,False,Count-only feasibility diagnostic for issue sequence engineering.
A13_bulletin_parse_feasibility,17:00,1645,8765,7420,84.65487735310896,False,Count-only feasibility diagnostic for issue sequence engineering.
A13_bulletin_parse_feasibility,17:00,1745,8765,0,0.0,False,Count-only feasibility diagnostic for issue sequence engineering.
A13_bulletin_parse_feasibility,17:00,1845,8765,0,0.0,False,Count-only feasibility diagnostic for issue sequence engineering.
A13_bulletin_parse_feasibility,17:00,2145,8765,0,0.0,False,Count-only feasibility diagnostic for issue sequence engineering.
A13_bulletin_parse_feasibility,17:00,2245,8765,0,0.0,False,Count-only feasibility diagnostic for issue sequence engineering.
A13_bulletin_parse_feasibility,17:00,2315,8765,0,0.0,False,Count-only feasibility diagnostic for issue sequence engineering.
A13_bulletin_parse_feasibility,17:00,2345,8765,0,0.0,False,Count-only feasibility diagnostic for issue sequence engineering.
A13_bulletin_parse_feasibility,18:00,1615,8765,6327,72.18482601254992,False,Count-only feasibility diagnostic for issue sequence engineering.
A13_bulletin_parse_feasibility,18:00,1645,8765,7442,84.90587564175699,False,Count-only feasibility diagnostic for issue sequence engineering.
A13_bulletin_parse_feasibility,18:00,1745,8765,7421,84.66628636622933,False,Count-only feasibility diagnostic for issue sequence engineering.
A13_bulletin_parse_feasibility,18:00,1845,8765,0,0.0,False,Count-only feasibility diagnostic for issue sequence engineering.
A13_bulletin_parse_feasibility,18:00,2145,8765,0,0.0,False,Count-only feasibility diagnostic for issue sequence engineering.
A13_bulletin_parse_feasibility,18:00,2245,8765,0,0.0,False,Count-only feasibility diagnostic for issue sequence engineering.
A13_bulletin_parse_feasibility,18:00,2315,8765,0,0.0,False,Count-only feasibility diagnostic for issue sequence engineering.
A13_bulletin_parse_feasibility,18:00,2345,8765,0,0.0,False,Count-only feasibility diagnostic for issue sequence engineering.
A13_bulletin_parse_feasibility,21:00,1615,8765,6327,72.18482601254992,False,Count-only feasibility diagnostic for issue sequence engineering.
A13_bulletin_parse_feasibility,21:00,1645,8765,7442,84.90587564175699,False,Count-only feasibility diagnostic for issue sequence engineering.
A13_bulletin_parse_feasibility,21:00,1745,8765,7435,84.82601254991444,False,Count-only feasibility diagnostic for issue sequence engineering.
A13_bulletin_parse_feasibility,21:00,1845,8765,7442,84.90587564175699,False,Count-only feasibility diagnostic for issue sequence engineering.
A13_bulletin_parse_feasibility,21:00,2145,8765,0,0.0,False,Count-only feasibility diagnostic for issue sequence engineering.
A13_bulletin_parse_feasibility,21:00,2245,8765,0,0.0,False,Count-only feasibility diagnostic for issue sequence engineering.
A13_bulletin_parse_feasibility,21:00,2315,8765,0,0.0,False,Count-only feasibility diagnostic for issue sequence engineering.
A13_bulletin_parse_feasibility,21:00,2345,8765,0,0.0,False,Count-only feasibility diagnostic for issue sequence engineering.
A13_bulletin_parse_feasibility,23:59,1615,8765,6327,72.18482601254992,False,Count-only feasibility diagnostic for issue sequence engineering.
A13_bulletin_parse_feasibility,23:59,1645,8765,7442,84.90587564175699,False,Count-only feasibility diagnostic for issue sequence engineering.
A13_bulletin_parse_feasibility,23:59,1745,8765,7435,84.82601254991444,False,Count-only feasibility diagnostic for issue sequence engineering.
A13_bulletin_parse_feasibility,23:59,1845,8765,7442,84.90587564175699,False,Count-only feasibility diagnostic for issue sequence engineering.
A13_bulletin_parse_feasibility,23:59,2145,8765,7473,85.2595550484883,False,Count-only feasibility diagnostic for issue sequence engineering.
A13_bulletin_parse_feasibility,23:59,2245,8765,7463,85.14546491728466,False,Count-only feasibility diagnostic for issue sequence engineering.
A13_bulletin_parse_feasibility,23:59,2315,8765,7644,87.21049629207074,False,Count-only feasibility diagnostic for issue sequence engineering.
A13_bulletin_parse_feasibility,23:59,2345,8765,8557,97.62692527096407,False,Count-only feasibility diagnostic for issue sequence engineering.
