fold_year,scope,n,mae,rmse,median_abs_error,bias,p80_abs_error,p90_abs_error,p95_abs_error,max_abs_error,first_date,last_date
2019,yearly,365,0.8355305435722687,1.0745521129737006,0.6676015385895795,0.0044691096636416605,1.3808915085644897,1.8726159430534428,2.173975953646882,3.5267767039115014,2019-01-01,2019-12-31
2015,yearly,364,0.8759333485997194,1.124167212565879,0.7402331134476974,-0.02081976307301995,1.358950905125464,1.7383608511304545,2.1649680320787734,4.024378739233143,2015-01-01,2015-12-31
2014,yearly,365,0.9048880655436919,1.1673831657339218,0.7014676941751574,-0.0179516505001119,1.3906503748443846,1.9067638171976626,2.45973184061849,3.84275015214266,2014-01-01,2014-12-31
2013,yearly,365,0.9060631582428439,1.1787487994254313,0.6925703973445643,0.036016694585811464,1.5055505417700106,1.9959103795463287,2.444043515474059,3.827908164463391,2013-01-01,2013-12-31
2018,yearly,365,0.9061159667878104,1.1478831741721294,0.7628374229348864,-0.015318740831495438,1.3916235066638734,1.8114976705824348,2.3117758830911472,3.7917828657667663,2018-01-01,2018-12-31
2021,yearly,365,0.9062821980209185,1.1619419536829898,0.7007459432361074,0.0021827659787816826,1.5065047631896653,2.028980610113118,2.3550493029381814,3.5301374780427004,2021-01-01,2021-12-31
2023,yearly,365,0.9115678352734987,1.152693917030316,0.8069105645218535,0.06190263617761179,1.4496775872184655,1.9202073683065801,2.3140352590627393,3.1090289288830455,2023-01-01,2023-12-31
2017,yearly,365,0.9249921535468658,1.1764092144712228,0.7625770118752442,0.08549618246317275,1.4404674388778416,1.8787744697444202,2.44544486700105,3.9190365895960575,2017-01-01,2017-12-31
2020,yearly,366,0.9385707624441878,1.2162623577551275,0.6950242639401925,-0.08170554381851178,1.5038940543118393,2.049999999999999,2.4677340309022036,4.403362920320813,2020-01-01,2020-12-31
2012,yearly,366,0.9559457535687538,1.227356331767637,0.748964117862867,0.09114088259949038,1.5567052872978095,2.0676339759337345,2.354309911768049,4.210578384301357,2012-01-01,2012-12-31
2011,yearly,365,0.9605687731679727,1.2308580512800062,0.7635302712804481,0.005118097133250342,1.5482299001775537,2.1107610281785627,2.4778941443728706,3.9891665745730407,2011-01-01,2011-12-31
2022,yearly,365,0.9721489838172137,1.2183727945151197,0.8336398390327808,0.012845819201210466,1.5353742012108582,1.946401504988373,2.3804485339957155,3.7184591752375837,2022-01-01,2022-12-31
2016,yearly,366,0.9818475339325992,1.2828324563664688,0.7371003685035458,0.001767393921500132,1.6866610098230943,2.1453699005488964,2.673231936866319,4.074505717064209,2016-01-01,2016-12-31
